image_path,pokemon_key,species_id,variant,pokemon_name,role,role_reason,stats_json,abilities_json,types_json,moves_json,split
pokemon_jpg/1.jpg,1,1,base,bulbasaur,support,"stats={'hp': 45, 'attack': 49, 'defense': 49, 'special-attack': 65, 'special-defense': 65, 'speed': 45}; abilities=['overgrow', 'chlorophyll']; types=['grass', 'poison']; move_counts={attack:3, defense:6, support:6}; scores={attack:171.1, defense:183.8, support:230.3}","{""hp"": 45, ""attack"": 49, ""defense"": 49, ""special-attack"": 65, ""special-defense"": 65, ""speed"": 45}","[""overgrow"", ""chlorophyll""]","[""grass"", ""poison""]","[""razor-wind"", ""swords-dance"", ""cut"", ""bind"", ""vine-whip"", ""headbutt"", ""tackle"", ""body-slam"", ""take-down"", ""double-edge"", ""growl"", ""strength"", ""mega-drain"", ""leech-seed"", ""growth"", ""razor-leaf"", ""solar-beam"", ""poison-powder"", ""sleep-powder"", ""petal-dance"", ""string-shot"", ""toxic"", ""rage"", ""mimic"", ""double-team"", ""defense-curl"", ""light-screen"", ""reflect"", ""bide"", ""sludge"", ""skull-bash"", ""amnesia"", ""flash"", ""rest"", ""substitute"", ""snore"", ""curse"", ""protect"", ""sludge-bomb"", ""mud-slap"", ""outrage"", ""giga-drain"", ""endure"", ""charm"", ""false-swipe"", ""swagger"", ""fury-cutter"", ""attract"", ""sleep-talk"", ""return"", ""frustration"", ""safeguard"", ""sweet-scent"", ""synthesis"", ""hidden-power"", ""sunny-day"", ""rock-smash"", ""facade"", ""nature-power"", ""helping-hand"", ""ingrain"", ""knock-off"", ""secret-power"", ""weather-ball"", ""grass-whistle"", ""bullet-seed"", ""magical-leaf"", ""natural-gift"", ""worry-seed"", ""seed-bomb"", ""energy-ball"", ""leaf-storm"", ""power-whip"", ""captivate"", ""grass-knot"", ""venoshock"", ""acid-spray"", ""round"", ""echoed-voice"", ""grass-pledge"", ""work-up"", ""grassy-terrain"", ""confide"", ""grassy-glide"", ""tera-blast"", ""trailblaze""]",train
pokemon_jpg/10.jpg,10,10,base,caterpie,defense,"stats={'hp': 45, 'attack': 30, 'defense': 35, 'special-attack': 20, 'special-defense': 20, 'speed': 45}; abilities=['shield-dust', 'run-away']; types=['bug']; move_counts={attack:0, defense:0, support:0}; scores={attack:69.2, defense:92.8, support:83.5}","{""hp"": 45, ""attack"": 30, ""defense"": 35, ""special-attack"": 20, ""special-defense"": 20, ""speed"": 45}","[""shield-dust"", ""run-away""]","[""bug""]","[""tackle"", ""string-shot"", ""snore"", ""bug-bite"", ""electroweb""]",train
pokemon_jpg/100.jpg,100,100,base,voltorb,support,"stats={'hp': 40, 'attack': 30, 'defense': 50, 'special-attack': 55, 'special-defense': 55, 'speed': 100}; abilities=['soundproof', 'static', 'aftermath']; types=['electric']; move_counts={attack:2, defense:3, support:6}; scores={attack:169.0, defense:136.0, support:201.5}","{""hp"": 40, ""attack"": 30, ""defense"": 50, ""special-attack"": 55, ""special-defense"": 55, ""speed"": 100}","[""soundproof"", ""static"", ""aftermath""]","[""electric""]","[""headbutt"", ""tackle"", ""take-down"", ""double-edge"", ""sonic-boom"", ""thunder-shock"", ""thunderbolt"", ""thunder-wave"", ""thunder"", ""toxic"", ""agility"", ""rage"", ""teleport"", ""mimic"", ""screech"", ""double-team"", ""light-screen"", ""reflect"", ""bide"", ""self-destruct"", ""swift"", ""flash"", ""explosion"", ""rest"", ""substitute"", ""thief"", ""snore"", ""curse"", ""protect"", ""zap-cannon"", ""endure"", ""rollout"", ""swagger"", ""spark"", ""sleep-talk"", ""return"", ""frustration"", ""hidden-power"", ""rain-dance"", ""mirror-coat"", ""torment"", ""facade"", ""charge"", ""taunt"", ""helping-hand"", ""magic-coat"", ""recycle"", ""refresh"", ""secret-power"", ""metal-sound"", ""signal-beam"", ""shock-wave"", ""gyro-ball"", ""natural-gift"", ""sucker-punch"", ""magnet-rise"", ""discharge"", ""charge-beam"", ""electro-ball"", ""foul-play"", ""round"", ""volt-switch"", ""electroweb"", ""wild-charge"", ""confide"", ""eerie-impulse"", ""electric-terrain"", ""tera-blast""]",train
pokemon_jpg/101.jpg,101,101,base,electrode,support,"stats={'hp': 60, 'attack': 50, 'defense': 70, 'special-attack': 80, 'special-defense': 80, 'speed': 150}; abilities=['soundproof', 'static', 'aftermath']; types=['electric']; move_counts={attack:2, defense:3, support:6}; scores={attack:237.5, defense:199.5, support:253.0}","{""hp"": 60, ""attack"": 50, ""defense"": 70, ""special-attack"": 80, ""special-defense"": 80, ""speed"": 150}","[""soundproof"", ""static"", ""aftermath""]","[""electric""]","[""headbutt"", ""tackle"", ""take-down"", ""double-edge"", ""sonic-boom"", ""hyper-beam"", ""thunder-shock"", ""thunderbolt"", ""thunder-wave"", ""thunder"", ""toxic"", ""agility"", ""rage"", ""teleport"", ""mimic"", ""screech"", ""double-team"", ""light-screen"", ""reflect"", ""bide"", ""self-destruct"", ""swift"", ""skull-bash"", ""flash"", ""explosion"", ""rest"", ""substitute"", ""thief"", ""snore"", ""curse"", ""protect"", ""scary-face"", ""zap-cannon"", ""endure"", ""rollout"", ""swagger"", ""spark"", ""sleep-talk"", ""return"", ""frustration"", ""hidden-power"", ""rain-dance"", ""mirror-coat"", ""torment"", ""facade"", ""charge"", ""taunt"", ""helping-hand"", ""magic-coat"", ""secret-power"", ""metal-sound"", ""signal-beam"", ""shock-wave"", ""gyro-ball"", ""natural-gift"", ""sucker-punch"", ""magnet-rise"", ""giga-impact"", ""discharge"", ""charge-beam"", ""telekinesis"", ""electro-ball"", ""foul-play"", ""round"", ""volt-switch"", ""electroweb"", ""wild-charge"", ""confide"", ""eerie-impulse"", ""magnetic-flux"", ""electric-terrain"", ""tera-blast"", ""supercell-slam""]",train
pokemon_jpg/102.jpg,102,102,base,exeggcute,support,"stats={'hp': 60, 'attack': 40, 'defense': 80, 'special-attack': 60, 'special-defense': 45, 'speed': 40}; abilities=['chlorophyll', 'harvest']; types=['grass', 'psychic']; move_counts={attack:3, defense:5, support:10}; scores={attack:142.0, defense:203.0, support:275.2}","{""hp"": 60, ""attack"": 40, ""defense"": 80, ""special-attack"": 60, ""special-defense"": 45, ""speed"": 40}","[""chlorophyll"", ""harvest""]","[""grass"", ""psychic""]","[""swords-dance"", ""headbutt"", ""take-down"", ""double-edge"", ""psybeam"", ""strength"", ""absorb"", ""mega-drain"", ""leech-seed"", ""solar-beam"", ""poison-powder"", ""stun-spore"", ""sleep-powder"", ""toxic"", ""confusion"", ""psychic"", ""hypnosis"", ""rage"", ""teleport"", ""mimic"", ""double-team"", ""light-screen"", ""reflect"", ""bide"", ""self-destruct"", ""egg-bomb"", ""dream-eater"", ""barrage"", ""flash"", ""psywave"", ""explosion"", ""rest"", ""substitute"", ""thief"", ""nightmare"", ""snore"", ""curse"", ""protect"", ""sludge-bomb"", ""giga-drain"", ""endure"", ""rollout"", ""swagger"", ""attract"", ""sleep-talk"", ""return"", ""frustration"", ""synthesis"", ""moonlight"", ""hidden-power"", ""sunny-day"", ""psych-up"", ""ancient-power"", ""uproar"", ""facade"", ""nature-power"", ""helping-hand"", ""trick"", ""ingrain"", ""skill-swap"", ""imprison"", ""secret-power"", ""extrasensory"", ""bullet-seed"", ""block"", ""gravity"", ""natural-gift"", ""lucky-chant"", ""power-swap"", ""worry-seed"", ""seed-bomb"", ""energy-ball"", ""zen-headbutt"", ""trick-room"", ""leaf-storm"", ""captivate"", ""grass-knot"", ""psyshock"", ""telekinesis"", ""round"", ""stored-power"", ""bestow"", ""grassy-terrain"", ""confide"", ""infestation"", ""grassy-glide"", ""tera-blast"", ""psychic-noise""]",train
pokemon_jpg/103.jpg,103,103,base,exeggutor,support,"stats={'hp': 95, 'attack': 95, 'defense': 85, 'special-attack': 125, 'special-defense': 75, 'speed': 55}; abilities=['chlorophyll', 'harvest']; types=['grass', 'psychic']; move_counts={attack:5, defense:5, support:9}; scores={attack:284.8, defense:267.2, support:306.2}","{""hp"": 95, ""attack"": 95, ""defense"": 85, ""special-attack"": 125, ""special-defense"": 75, ""speed"": 55}","[""chlorophyll"", ""harvest""]","[""grass"", ""psychic""]","[""swords-dance"", ""stomp"", ""headbutt"", ""body-slam"", ""take-down"", ""double-edge"", ""psybeam"", ""hyper-beam"", ""low-kick"", ""strength"", ""absorb"", ""mega-drain"", ""leech-seed"", ""solar-beam"", ""stun-spore"", ""earthquake"", ""toxic"", ""confusion"", ""psychic"", ""hypnosis"", ""rage"", ""teleport"", ""mimic"", ""double-team"", ""light-screen"", ""reflect"", ""bide"", ""self-destruct"", ""egg-bomb"", ""dream-eater"", ""barrage"", ""flash"", ""psywave"", ""explosion"", ""rest"", ""substitute"", ""thief"", ""nightmare"", ""snore"", ""curse"", ""protect"", ""sludge-bomb"", ""giga-drain"", ""endure"", ""rollout"", ""swagger"", ""attract"", ""sleep-talk"", ""return"", ""frustration"", ""synthesis"", ""hidden-power"", ""sunny-day"", ""psych-up"", ""ancient-power"", ""future-sight"", ""uproar"", ""facade"", ""nature-power"", ""helping-hand"", ""trick"", ""skill-swap"", ""imprison"", ""refresh"", ""secret-power"", ""extrasensory"", ""bullet-seed"", ""block"", ""magical-leaf"", ""calm-mind"", ""gravity"", ""natural-gift"", ""power-swap"", ""worry-seed"", ""seed-bomb"", ""energy-ball"", ""giga-impact"", ""psycho-cut"", ""zen-headbutt"", ""trick-room"", ""leaf-storm"", ""power-whip"", ""captivate"", ""grass-knot"", ""wood-hammer"", ""psyshock"", ""telekinesis"", ""round"", ""stored-power"", ""bulldoze"", ""grassy-terrain"", ""confide"", ""infestation"", ""psychic-terrain"", ""stomping-tantrum"", ""expanding-force"", ""grassy-glide"", ""terrain-pulse"", ""tera-blast"", ""psychic-noise""]",test
pokemon_jpg/104.jpg,104,104,base,cubone,defense,"stats={'hp': 50, 'attack': 50, 'defense': 95, 'special-attack': 40, 'special-defense': 50, 'speed': 35}; abilities=['rock-head', 'lightning-rod', 'battle-armor']; types=['ground']; move_counts={attack:5, defense:5, support:2}; scores={attack:120.8, defense:264.8, support:123.2}","{""hp"": 50, ""attack"": 50, ""defense"": 95, ""special-attack"": 40, ""special-defense"": 50, ""speed"": 35}","[""rock-head"", ""lightning-rod"", ""battle-armor""]","[""ground""]","[""mega-punch"", ""fire-punch"", ""thunder-punch"", ""swords-dance"", ""double-kick"", ""mega-kick"", ""headbutt"", ""body-slam"", ""take-down"", ""thrash"", ""double-edge"", ""tail-whip"", ""leer"", ""growl"", ""flamethrower"", ""water-gun"", ""ice-beam"", ""blizzard"", ""bubble-beam"", ""submission"", ""low-kick"", ""counter"", ""seismic-toss"", ""strength"", ""earthquake"", ""fissure"", ""dig"", ""toxic"", ""rage"", ""mimic"", ""screech"", ""double-team"", ""focus-energy"", ""bide"", ""bone-club"", ""fire-blast"", ""swift"", ""skull-bash"", ""bonemerang"", ""rest"", ""rock-slide"", ""substitute"", ""thief"", ""snore"", ""curse"", ""protect"", ""belly-drum"", ""mud-slap"", ""perish-song"", ""icy-wind"", ""detect"", ""bone-rush"", ""sandstorm"", ""endure"", ""false-swipe"", ""swagger"", ""fury-cutter"", ""attract"", ""sleep-talk"", ""return"", ""frustration"", ""dynamic-punch"", ""iron-tail"", ""hidden-power"", ""sunny-day"", ""ancient-power"", ""rock-smash"", ""uproar"", ""facade"", ""focus-punch"", ""brick-break"", ""knock-off"", ""endeavor"", ""secret-power"", ""rock-tomb"", ""aerial-ace"", ""iron-defense"", ""natural-gift"", ""fling"", ""earth-power"", ""rock-climb"", ""iron-head"", ""captivate"", ""stealth-rock"", ""smack-down"", ""round"", ""echoed-voice"", ""chip-away"", ""incinerate"", ""retaliate"", ""bulldoze"", ""confide"", ""power-up-punch"", ""brutal-swing"", ""stomping-tantrum"", ""scorching-sands""]",test
pokemon_jpg/105.jpg,105,105,base,marowak,defense,"stats={'hp': 60, 'attack': 80, 'defense': 110, 'special-attack': 50, 'special-defense': 80, 'speed': 45}; abilities=['rock-head', 'lightning-rod', 'battle-armor']; types=['ground']; move_counts={attack:6, defense:5, support:1}; scores={attack:171.2, defense:332.2, support:143.8}","{""hp"": 60, ""attack"": 80, ""defense"": 110, ""special-attack"": 50, ""special-defense"": 80, ""speed"": 45}","[""rock-head"", ""lightning-rod"", ""battle-armor""]","[""ground""]","[""mega-punch"", ""fire-punch"", ""thunder-punch"", ""swords-dance"", ""mega-kick"", ""headbutt"", ""body-slam"", ""take-down"", ""thrash"", ""double-edge"", ""tail-whip"", ""leer"", ""growl"", ""sing"", ""flamethrower"", ""water-gun"", ""ice-beam"", ""blizzard"", ""bubble-beam"", ""hyper-beam"", ""submission"", ""low-kick"", ""counter"", ""seismic-toss"", ""strength"", ""earthquake"", ""fissure"", ""dig"", ""toxic"", ""rage"", ""mimic"", ""screech"", ""double-team"", ""focus-energy"", ""bide"", ""bone-club"", ""fire-blast"", ""swift"", ""skull-bash"", ""bonemerang"", ""rest"", ""rock-slide"", ""substitute"", ""thief"", ""snore"", ""curse"", ""protect"", ""mud-slap"", ""icy-wind"", ""detect"", ""bone-rush"", ""outrage"", ""sandstorm"", ""endure"", ""false-swipe"", ""swagger"", ""fury-cutter"", ""attract"", ""sleep-talk"", ""return"", ""frustration"", ""dynamic-punch"", ""iron-tail"", ""hidden-power"", ""sunny-day"", ""rock-smash"", ""uproar"", ""facade"", ""focus-punch"", ""brick-break"", ""knock-off"", ""endeavor"", ""secret-power"", ""rock-tomb"", ""aerial-ace"", ""iron-defense"", ""natural-gift"", ""fling"", ""focus-blast"", ""earth-power"", ""giga-impact"", ""rock-climb"", ""iron-head"", ""stone-edge"", ""captivate"", ""stealth-rock"", ""smack-down"", ""round"", ""echoed-voice"", ""incinerate"", ""retaliate"", ""bulldoze"", ""confide"", ""power-up-punch"", ""laser-focus"", ""throat-chop"", ""brutal-swing"", ""stomping-tantrum"", ""scorching-sands""]",train
pokemon_jpg/106.jpg,106,106,base,hitmonlee,attack,"stats={'hp': 50, 'attack': 120, 'defense': 53, 'special-attack': 35, 'special-defense': 110, 'speed': 87}; abilities=['limber', 'reckless', 'unburden']; types=['fighting']; move_counts={attack:8, defense:3, support:5}; scores={attack:275.6, defense:227.9, support:170.2}","{""hp"": 50, ""attack"": 120, ""defense"": 53, ""special-attack"": 35, ""special-defense"": 110, ""speed"": 87}","[""limber"", ""reckless"", ""unburden""]","[""fighting""]","[""mega-punch"", ""swords-dance"", ""double-kick"", ""mega-kick"", ""jump-kick"", ""rolling-kick"", ""headbutt"", ""tackle"", ""body-slam"", ""take-down"", ""double-edge"", ""submission"", ""low-kick"", ""counter"", ""seismic-toss"", ""strength"", ""earthquake"", ""toxic"", ""meditate"", ""rage"", ""mimic"", ""double-team"", ""focus-energy"", ""bide"", ""metronome"", ""swift"", ""skull-bash"", ""high-jump-kick"", ""rest"", ""rock-slide"", ""substitute"", ""thief"", ""mind-reader"", ""snore"", ""curse"", ""reversal"", ""protect"", ""mach-punch"", ""scary-face"", ""mud-slap"", ""foresight"", ""detect"", ""endure"", ""swagger"", ""attract"", ""sleep-talk"", ""return"", ""frustration"", ""dynamic-punch"", ""baton-pass"", ""rapid-spin"", ""hidden-power"", ""rain-dance"", ""sunny-day"", ""rock-smash"", ""fake-out"", ""uproar"", ""facade"", ""focus-punch"", ""taunt"", ""helping-hand"", ""role-play"", ""superpower"", ""revenge"", ""brick-break"", ""knock-off"", ""endeavor"", ""refresh"", ""secret-power"", ""blaze-kick"", ""rock-tomb"", ""bulk-up"", ""bounce"", ""covet"", ""natural-gift"", ""feint"", ""close-combat"", ""fling"", ""sucker-punch"", ""aura-sphere"", ""poison-jab"", ""vacuum-wave"", ""focus-blast"", ""giga-impact"", ""bullet-punch"", ""rock-climb"", ""stone-edge"", ""captivate"", ""wide-guard"", ""low-sweep"", ""round"", ""retaliate"", ""bulldoze"", ""work-up"", ""confide"", ""power-up-punch"", ""laser-focus"", ""throat-chop"", ""lunge"", ""stomping-tantrum"", ""coaching"", ""tera-blast"", ""axe-kick"", ""upper-hand""]",train
pokemon_jpg/107.jpg,107,107,base,hitmonchan,attack,"stats={'hp': 50, 'attack': 105, 'defense': 79, 'special-attack': 35, 'special-defense': 110, 'speed': 76}; abilities=['keen-eye', 'iron-fist', 'inner-focus']; types=['fighting']; move_counts={attack:9, defense:3, support:5}; scores={attack:274.4, defense:255.6, support:195.9}","{""hp"": 50, ""attack"": 105, ""defense"": 79, ""special-attack"": 35, ""special-defense"": 110, ""speed"": 76}","[""keen-eye"", ""iron-fist"", ""inner-focus""]","[""fighting""]","[""comet-punch"", ""mega-punch"", ""fire-punch"", ""ice-punch"", ""thunder-punch"", ""swords-dance"", ""mega-kick"", ""headbutt"", ""tackle"", ""body-slam"", ""take-down"", ""double-edge"", ""leer"", ""submission"", ""low-kick"", ""counter"", ""seismic-toss"", ""strength"", ""earthquake"", ""toxic"", ""agility"", ""rage"", ""mimic"", ""double-team"", ""focus-energy"", ""bide"", ""metronome"", ""swift"", ""skull-bash"", ""high-jump-kick"", ""dizzy-punch"", ""rest"", ""rock-slide"", ""substitute"", ""thief"", ""mind-reader"", ""snore"", ""curse"", ""reversal"", ""protect"", ""mach-punch"", ""scary-face"", ""mud-slap"", ""detect"", ""endure"", ""swagger"", ""attract"", ""sleep-talk"", ""return"", ""frustration"", ""dynamic-punch"", ""baton-pass"", ""encore"", ""pursuit"", ""rapid-spin"", ""hidden-power"", ""rain-dance"", ""sunny-day"", ""rock-smash"", ""fake-out"", ""uproar"", ""facade"", ""focus-punch"", ""taunt"", ""helping-hand"", ""role-play"", ""revenge"", ""brick-break"", ""knock-off"", ""endeavor"", ""secret-power"", ""rock-tomb"", ""sky-uppercut"", ""bulk-up"", ""covet"", ""natural-gift"", ""feint"", ""close-combat"", ""fling"", ""aura-sphere"", ""poison-jab"", ""drain-punch"", ""vacuum-wave"", ""focus-blast"", ""giga-impact"", ""bullet-punch"", ""rock-climb"", ""stone-edge"", ""captivate"", ""low-sweep"", ""round"", ""quick-guard"", ""retaliate"", ""bulldoze"", ""work-up"", ""confide"", ""power-up-punch"", ""laser-focus"", ""throat-chop"", ""coaching"", ""tera-blast"", ""trailblaze"", ""upper-hand""]",test
